card_super_id,card_title,copy_number,unique_id,url
5357532,Masseeh,1,AARK,https://mitcampustrade.com/cards/5357532/AARK
5357532,Masseeh,2,J5NX,https://mitcampustrade.com/cards/5357532/J5NX
5357532,Masseeh,3,K5HG,https://mitcampustrade.com/cards/5357532/K5HG
5357532,Masseeh,4,8V9E,https://mitcampustrade.com/cards/5357532/8V9E
5357532,Masseeh,5,6GFS,https://mitcampustrade.com/cards/5357532/6GFS
5357532,Masseeh,6,JPX7,https://mitcampustrade.com/cards/5357532/JPX7
5357532,Masseeh,7,MF2Z,https://mitcampustrade.com/cards/5357532/MF2Z
5357532,Masseeh,8,K86T,https://mitcampustrade.com/cards/5357532/K86T
5357532,Masseeh,9,V89H,https://mitcampustrade.com/cards/5357532/V89H
5357532,Masseeh,10,AHHS,https://mitcampustrade.com/cards/5357532/AHHS
5357532,Masseeh,11,ZH76,https://mitcampustrade.com/cards/5357532/ZH76
5357532,Masseeh,12,XHZ5,https://mitcampustrade.com/cards/5357532/XHZ5
5357532,Masseeh,13,ST5C,https://mitcampustrade.com/cards/5357532/ST5C
5357532,Masseeh,14,F6GJ,https://mitcampustrade.com/cards/5357532/F6GJ
5357532,Masseeh,15,92YD,https://mitcampustrade.com/cards/5357532/92YD
5357532,Masseeh,16,AUQG,https://mitcampustrade.com/cards/5357532/AUQG
5357532,Masseeh,17,PR9G,https://mitcampustrade.com/cards/5357532/PR9G
5357532,Masseeh,18,G4U7,https://mitcampustrade.com/cards/5357532/G4U7
5357532,Masseeh,19,4M67,https://mitcampustrade.com/cards/5357532/4M67
5357532,Masseeh,20,TMXG,https://mitcampustrade.com/cards/5357532/TMXG
5357532,Masseeh,21,3NCF,https://mitcampustrade.com/cards/5357532/3NCF
5357532,Masseeh,22,SK8K,https://mitcampustrade.com/cards/5357532/SK8K
5357532,Masseeh,23,PZFC,https://mitcampustrade.com/cards/5357532/PZFC
5357532,Masseeh,24,C6RY,https://mitcampustrade.com/cards/5357532/C6RY
5357532,Masseeh,25,DV4T,https://mitcampustrade.com/cards/5357532/DV4T
5357532,Masseeh,26,KQCJ,https://mitcampustrade.com/cards/5357532/KQCJ
5357532,Masseeh,27,9W9D,https://mitcampustrade.com/cards/5357532/9W9D
5357532,Masseeh,28,NZY3,https://mitcampustrade.com/cards/5357532/NZY3
5357532,Masseeh,29,WD5S,https://mitcampustrade.com/cards/5357532/WD5S
5357532,Masseeh,30,4NQ7,https://mitcampustrade.com/cards/5357532/4NQ7
5357532,Masseeh,31,7QP2,https://mitcampustrade.com/cards/5357532/7QP2
5357532,Masseeh,32,A3YG,https://mitcampustrade.com/cards/5357532/A3YG
5357532,Masseeh,33,HPQ9,https://mitcampustrade.com/cards/5357532/HPQ9
